genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
yeast	pseudosimplitigs	19	5	default	11479729	11591943	11479729	112214	14042	2994896	38676	3033572	3029080	yeast.S_pseudosimplitigs.k_19.d_5.M_default
yeast	pseudosimplitigs	19	5	ones	11479729	11591943	11496644	95299	7837	2994896	23084	3017980	3018220	yeast.S_pseudosimplitigs.k_19.d_5.M_ones
yeast	pseudosimplitigs	19	5	runs	11479729	11591943	11496174	95769	7545	2994896	22652	3017548	3017420	yeast.S_pseudosimplitigs.k_19.d_5.M_runs
yeast	pseudosimplitigs	19	5	zeros	11479729	11591943	11479729	112214	14062	2994896	38780	3033676	3027880	yeast.S_pseudosimplitigs.k_19.d_5.M_zeros
yeast	pseudosimplitigs	19	6	default	11479729	11588779	11479729	109050	14609	2994600	40324	3034924	3029172	yeast.S_pseudosimplitigs.k_19.d_6.M_default
yeast	pseudosimplitigs	19	6	ones	11479729	11588779	11498753	90026	7968	2994600	23732	3018332	3015868	yeast.S_pseudosimplitigs.k_19.d_6.M_ones
yeast	pseudosimplitigs	19	6	runs	11479729	11588779	11498314	90465	7687	2994600	23368	3017968	3015788	yeast.S_pseudosimplitigs.k_19.d_6.M_runs
yeast	pseudosimplitigs	19	6	zeros	11479729	11588779	11479729	109050	14624	2994600	40332	3034932	3028972	yeast.S_pseudosimplitigs.k_19.d_6.M_zeros
yeast	pseudosimplitigs	19	7	default	11479729	11592104	11479729	112375	15521	2994276	43116	3037392	3032588	yeast.S_pseudosimplitigs.k_19.d_7.M_default
yeast	pseudosimplitigs	19	7	ones	11479729	11592104	11500085	92019	8739	2994276	26360	3020636	3018080	yeast.S_pseudosimplitigs.k_19.d_7.M_ones
yeast	pseudosimplitigs	19	7	runs	11479729	11592104	11499657	92447	8476	2994276	26020	3020296	3017772	yeast.S_pseudosimplitigs.k_19.d_7.M_runs
yeast	pseudosimplitigs	19	7	zeros	11479729	11592104	11479729	112375	15533	2994276	43212	3037488	3031332	yeast.S_pseudosimplitigs.k_19.d_7.M_zeros
yeast	pseudosimplitigs	19	8	default	11479729	11599102	11479729	119373	16886	2996864	46616	3043480	3036048	yeast.S_pseudosimplitigs.k_19.d_8.M_default
yeast	pseudosimplitigs	19	8	ones	11479729	11599102	11501657	97445	9959	2996864	29840	3026704	3025468	yeast.S_pseudosimplitigs.k_19.d_8.M_ones
yeast	pseudosimplitigs	19	8	runs	11479729	11599102	11501216	97886	9673	2996864	29520	3026384	3025320	yeast.S_pseudosimplitigs.k_19.d_8.M_runs
yeast	pseudosimplitigs	19	8	zeros	11479729	11599102	11479729	119373	16916	2996864	46716	3043580	3036412	yeast.S_pseudosimplitigs.k_19.d_8.M_zeros
yeast	pseudosimplitigs	19	9	default	11479729	11613453	11479729	133724	19160	3000632	51408	3052040	3045128	yeast.S_pseudosimplitigs.k_19.d_9.M_default
yeast	pseudosimplitigs	19	9	ones	11479729	11613453	11503710	109743	12088	3000632	34488	3035120	3033336	yeast.S_pseudosimplitigs.k_19.d_9.M_ones
yeast	pseudosimplitigs	19	9	runs	11479729	11613453	11503193	110260	11766	3000632	34100	3034732	3031116	yeast.S_pseudosimplitigs.k_19.d_9.M_runs
yeast	pseudosimplitigs	19	9	zeros	11479729	11613453	11479729	133724	19196	3000632	51568	3052200	3043944	yeast.S_pseudosimplitigs.k_19.d_9.M_zeros
yeast	pseudosimplitigsAC	19	1	default	11479729	11692147	11479729	212418	11801	3017152	28964	3046116	3051452	yeast.S_pseudosimplitigsAC.k_19.d_1.M_default
yeast	pseudosimplitigsAC	19	1	ones	11479729	11692147	11497212	194935	13340	3017152	35180	3052332	3053856	yeast.S_pseudosimplitigsAC.k_19.d_1.M_ones
yeast	pseudosimplitigsAC	19	1	runs	11479729	11692147	11493625	198522	11679	3017152	32652	3049804	3051596	yeast.S_pseudosimplitigsAC.k_19.d_1.M_runs
yeast	pseudosimplitigsAC	19	1	zeros	11479729	11692147	11479729	212418	13064	3017152	32876	3050028	3053700	yeast.S_pseudosimplitigsAC.k_19.d_1.M_zeros
yeast	pseudosimplitigsAC	19	10	default	11479729	11635792	11479729	156063	21933	3010328	54596	3064924	3056348	yeast.S_pseudosimplitigsAC.k_19.d_10.M_default
yeast	pseudosimplitigsAC	19	10	ones	11479729	11635792	11505460	130332	14839	3010328	38048	3048376	3043100	yeast.S_pseudosimplitigsAC.k_19.d_10.M_ones
